timestamp,temp,hum,diseased,healthy,soil,rssi
2026-01-07T14:12:09.795270,26.7,41.0,,,,
2026-01-07T14:12:10.750613,26.7,41.0,,,,
2026-01-07T14:12:11.714087,26.7,41.0,,,,
2026-01-07T14:12:12.806984,26.7,41.0,,,,
2026-01-07T14:12:13.685554,26.7,41.0,0.99609,0,1.0,-46
2026-01-07T14:12:13.792964,26.7,41.0,,,,
2026-01-07T14:12:14.776927,26.7,41.0,,,,
2026-01-07T14:12:15.761944,26.7,41.0,,,,
2026-01-07T14:12:16.744845,27.1,41.0,,,,
2026-01-07T14:12:17.732174,27.1,41.0,,,,
2026-01-07T14:12:18.821862,27.1,41.0,,,,
2026-01-07T14:12:19.044436,27.1,41.0,0.99609,0,1.0,-48
2026-01-07T14:12:19.812958,27.1,41.0,,,,
2026-01-07T14:12:20.779899,27.1,41.0,,,,
2026-01-07T14:12:21.751434,27.1,41.0,,,,
2026-01-07T14:12:22.845479,27.1,41.0,,,,
2026-01-07T14:12:23.723503,27.1,41.0,,,,
2026-01-07T14:12:24.267254,27.1,41.0,0.99609,0,1.0,-52
2026-01-07T14:12:24.815432,27.1,41.0,,,,
2026-01-07T14:12:25.807637,27.1,41.0,,,,
2026-01-07T14:12:26.794999,27.1,40.0,,,,
2026-01-07T14:12:27.777762,27.1,40.0,,,,
2026-01-07T14:12:28.759195,27.1,40.0,,,,
2026-01-07T14:12:29.614315,27.1,40.0,0.99609,0,1.0,-49
2026-01-07T14:12:29.721208,27.1,40.0,,,,
2026-01-07T14:12:30.809839,27.1,40.0,,,,
2026-01-07T14:12:31.801113,27.1,40.0,,,,
2026-01-07T14:12:32.789260,27.1,40.0,,,,
2026-01-07T14:12:33.778405,27.1,40.0,,,,
2026-01-07T14:12:34.760561,27.1,40.0,,,,
2026-01-07T14:12:34.875164,27.1,40.0,0.99609,0,1.0,-48
2026-01-07T14:12:35.733647,27.1,40.0,,,,
2026-01-07T14:12:36.803917,27.1,40.0,,,,
2026-01-07T14:12:37.792164,27.1,40.0,,,,
2026-01-07T14:12:38.780057,27.1,40.0,,,,
2026-01-07T14:12:39.751130,27.1,40.0,,,,
2026-01-07T14:12:40.176517,27.1,40.0,0.99219,0.00781,1.0,-48
2026-01-07T14:12:40.817222,27.1,40.0,,,,
2026-01-07T14:12:41.790780,27.1,40.0,,,,
2026-01-07T14:12:42.778121,27.1,40.0,,,,
2026-01-07T14:12:43.761862,27.1,40.0,,,,
2026-01-07T14:12:44.744459,27.1,40.0,,,,
2026-01-07T14:12:45.399472,27.1,40.0,0.99219,0.00781,1.0,-47
2026-01-07T14:12:45.725756,27.1,40.0,,,,
2026-01-07T14:12:46.821699,27.1,40.0,,,,
2026-01-07T14:12:47.807371,27.1,40.0,,,,
2026-01-07T14:12:48.792970,27.1,40.0,,,,
2026-01-07T14:12:49.777458,27.1,40.0,,,,
2026-01-07T14:12:50.657070,27.1,40.0,0.99609,0,1.0,-44
2026-01-07T14:12:50.764021,27.1,40.0,,,,
